Țara,Speranța de viață la naștere (ani),Rata mortalității infantile (per 1000 nașteri),Accesul la serviciile sanitare de bază (% din populație),Populația urbană (% din populație),Rata brută de înscriere școlară (%),Rata șomajului (% din totalul forței de muncă),Accesul la electricitate (% din populație)
Madagascar,65.23,45.1,14.75428511,39.882,..,3.186,36.1
Malawi,62.898,30.1,49.24128881,17.98,..,5.037,14
Malaysia,76.26,6.7,95.9961352,78.214,84.54250412,3.93,100
Maldives,80.839,4.8,99.70053886,41.536,72.53594967,4.419,100
Mali,59.417,60.1,50.20855112,45.437,..,2.387,53
Malta,82.7,4.9,99.96442282,94.875,102.6950378,2.921,100
Marshall Islands,65.146,24,81.45967436,78.52,116.0751572,..,100
Mauritania,64.691,31.4,55.9298944,56.923,..,10.531,49
Mauritius,73.51463415,13.4,..,40.81,..,6.322,100
Mexico,74.832,11,92.51844777,81.3,98.35765839,3.256,100
"Micronesia, Fed. Sts.",70.925,20.5,..,23.217,..,..,85.3
Moldova,68.621,12.2,84.91095192,43.173,97.6136726,0.897,100
Monaco,..,2.3,100,100,..,..,100
Mongolia,72.667,11.5,69.96488196,68.93,97.63020371,6.211,100
Montenegro,76.18780488,2.3,97.81044651,68.164,92.1609726,14.851,100
Morocco,74.973,14.8,87.51634866,64.596,86.23320007,9.494,100
Mozambique,59.625,48.7,37.37979668,38.187,37.89223916,3.596,33.2
Myanmar,67.256,32.5,74.13015344,31.771,..,3.057,73.7
Namibia,58.059,28.6,35.84054136,53.956,..,19.695,56.2
Nauru,64.014,22.3,..,100,89.92298126,..,100
Nepal,70.484,23,80.39270303,21.451,83.92280769,10.844,91.3
Netherlands,81.71463415,3.4,97.67023434,92.886,138.7675018,3.526,100
New Caledonia,80.98207317,..,100,72.325,..,10.71,100
New Zealand,82.76097561,3.9,100,86.884,114.7749329,3.297,100
Nicaragua,74.615,13.1,..,59.556,..,4.961,86.5
Niger,62.08,60.3,16.409657,16.894,..,0.418,19.5
Nigeria,53.633,68.5,46.57067508,53.521,..,3.821,60.5
North Macedonia,74.42487805,4.1,98.98180753,59.118,91.45163727,14.476,100
Northern Mariana Islands,..,..,80.32728434,91.983,..,..,100
Norway,82.56097561,1.8,98.04901186,83.664,119.4425278,3.231,100
Oman,73.935,9,99.32061563,87.75,91.97601318,3.3,100
Pakistan,66.431,51,70.52881326,37.731,42.35868532,5.485,95
Palau,..,22.1,99.01850659,81.956,85.68534774,..,100
Panama,76.826,11.4,85.87987561,69.141,..,8.086,95
Papua New Guinea,65.958,33.4,19.30472877,13.582,..,2.689,19
Paraguay,70.475,15,94.57274844,62.818,82.01078796,6.755,100
Peru,73.385,11.7,78.45945658,78.708,99.12198639,3.85,96.2
Philippines,72.187,21.8,84.75716182,47.977,93.66533397,2.598,94.8
Poland,77.30487805,3.8,98.95708252,60.134,108.4821701,2.811,100
Portugal,81.5804878,2.6,99.66125673,67.381,121.9785614,6.011,100
Puerto Rico,79.72,..,100,93.61,..,6,100
Qatar,81.559,4.5,99.93654508,99.318,104.5607986,0.13,100
Romania,75.30487805,5.5,88.28422943,54.489,83.03347015,5.614,100
Russian Federation,72.54560976,3.8,89.41852645,75.126,93.93538666,3.867,100
Rwanda,67.129,28.8,73.82644548,17.721,44.15470886,15.084,50.6
Samoa,72.598,13.9,97.9278645,17.616,..,5.048,98.3
San Marino,..,1.3,100,97.732,61.6779213,..,100
Sao Tome and Principe,68.794,11.3,47.84264723,75.755,..,8.992,78
Saudi Arabia,77.905,5.5,95.34806754,84.729,119.9683685,5.589,100
Senegal,67.913,28.2,60.1839131,49.086,46.95069122,2.837,67.9
Serbia,75.48219512,4.4,97.91041484,56.873,95.08496857,8.439,100
Seychelles,73.84878049,12.5,100,58.396,76.88186646,..,100
Sierra Leone,60.411,76,22.91918718,43.831,..,3.175,29.4
Singapore,82.89512195,1.8,100,100,103.0413132,3.591,100
Sint Maarten (Dutch part),74.409,..,..,100,..,..,100
Slovak Republic,77.06585366,4.9,97.5363607,53.909,92.20430756,6.143,100
Slovenia,81.28292683,1.9,98.31115775,55.751,107.8748093,4.011,100
Solomon Islands,70.742,15.7,..,25.584,..,1.483,76
Somalia,56.107,68,40.57580312,47.324,..,19.05,48.9
South Africa,61.48,27.7,77.63424598,68.335,108.3046188,33.268,86.5
South Sudan,55.567,63.8,16.0551794,20.846,..,12.545,8.4
Spain,83.08292683,2.5,99.91861642,81.304,119.0155106,12.917,100
Sri Lanka,76.61,5.6,95.08636078,19.026,89.48251709,4.528,100
St. Kitts and Nevis,72.027,13.3,..,30.991,..,..,100
St. Lucia,71.294,16,83.35798879,19.05,88.10372925,15.934,100
St. Martin (French part),80.55,..,100,..,..,..,100
